year,month,month_name,week,district,current_price,previous_week_price,previous_month_price,previous_year_price,change_previous_week,change_previous_month,change_previous_year
2026,1,January,2,Ranipet,3046.7,3287.47,2715.54,4760.06,-0.073,0.122,-0.36
2026,1,January,2,Salem,3790.71,3882.37,3491.56,5700.28,-0.024,0.086,-0.335
2026,1,January,2,Sivaganga,3950.18,4107.49,3335.7,5439.59,-0.038,0.184,-0.274
2026,1,January,2,Tenkasi,3623.2,3601.02,3119.42,4684.78,0.006,0.161,-0.227
2026,1,January,2,Thanjavur,3687.33,3676.72,3350.63,4863.06,0.003,0.101,-0.242
2026,1,January,2,The Nilgiris,3463.82,3737.25,3309.86,5226.52,-0.073,0.047,-0.337
2026,1,January,2,Theni,3126.5,3415.97,3071.91,4346.43,-0.085,0.018,-0.281
2026,1,January,2,Thiruchirappalli,3467.84,3766.08,3421.4,5515.07,-0.079,0.014,-0.371
2026,1,January,2,Thirunelveli,3198.51,3435.29,2968.35,4131.59,-0.069,0.078,-0.226
2026,1,January,2,Thirupathur,3003.7,2892.44,2808.96,5382.86,0.039,0.069,-0.442
2026,1,January,2,Thirupur,2818.81,2821.39,2531.29,4294.43,-0.001,0.114,-0.344
2026,1,January,2,Thiruvannamalai,3068.84,3046.71,2777.22,4594.89,0.007,0.105,-0.332
2026,1,January,2,Thiruvarur,3360.99,3703.46,3515.75,5794.04,-0.092,-0.044,-0.42
2026,1,January,2,Thiruvellore,3000.0,3153.33,3000.0,4669.48,-0.049,,-0.358
2026,1,January,2,Tuticorin,3515.0,3898.2,3348.6,4946.55,-0.098,0.05,-0.289
2026,1,January,2,Vellore,3078.66,3058.98,2875.51,4508.55,0.006,0.071,-0.317
2026,1,January,2,Villupuram,3166.73,3721.22,2805.12,4980.86,-0.149,0.129,-0.364
2026,1,January,2,Virudhunagar,3362.87,3710.13,3209.58,4564.09,-0.094,0.048,-0.263
2026,1,January,3,Ariyalur,2766.89,2828.46,2805.45,4728.87,-0.022,-0.014,-0.415
2026,1,January,3,Chengalpattu,3499.1,3476.57,3523.99,4663.92,0.007,-0.007,-0.25
2026,1,January,3,Coimbatore,2591.77,2640.77,3564.64,4315.67,-0.019,-0.273,-0.4
2026,1,January,3,Cuddalore,2950.21,3079.39,3359.06,4460.0,-0.042,-0.122,-0.339
2026,1,January,3,Dharmapuri,2975.43,3209.46,4022.14,4486.33,-0.073,-0.26,-0.337
2026,1,January,3,Dindigul,3335.92,3547.69,3735.99,4990.1,-0.06,-0.107,-0.331
2026,1,January,3,Erode,3428.9,3486.43,3327.56,4623.0,-0.016,0.03,-0.258
2026,1,January,3,Kallakuruchi,4000.0,4000.0,4029.41,5000.0,,-0.007,-0.2
2026,1,January,3,Kancheepuram,3236.12,3159.24,2808.99,4492.15,0.024,0.152,-0.28
2026,1,January,3,Karur,3460.9,3538.16,3899.05,5168.1,-0.022,-0.112,-0.33
2026,1,January,3,Krishnagiri,3055.39,3106.7,3622.39,4361.7,-0.016,-0.157,-0.299
2026,1,January,3,Madurai,3730.06,3670.53,3900.16,5256.95,0.016,-0.044,-0.291
2026,1,January,3,Nagapattinam,2740.51,2745.72,2780.16,4058.14,-0.002,-0.014,-0.325
2026,1,January,3,Nagercoil (Kannyiakumari),3979.39,4277.33,4483.83,5074.16,-0.07,-0.112,-0.216
2026,1,January,3,Namakkal,3389.87,3318.08,3629.68,4709.11,0.022,-0.066,-0.28
2026,1,January,3,Perambalur,3519.6,3589.58,4050.0,5355.81,-0.019,-0.131,-0.343
2026,1,January,3,Pudukkottai,3755.07,3940.79,3884.89,5727.42,-0.047,-0.033,-0.344
2026,1,January,3,Ramanathapuram,3492.89,3649.52,3532.83,5472.69,-0.043,-0.011,-0.362
2026,1,January,3,Ranipet,3003.64,3046.7,3478.32,4365.5,-0.014,-0.137,-0.312
2026,1,January,3,Salem,3545.2,3790.71,4098.66,5322.1,-0.065,-0.135,-0.334
2026,1,January,3,Sivaganga,4008.74,3950.18,3942.57,5443.78,0.015,0.017,-0.264
2026,1,January,3,Tenkasi,3728.85,3623.2,3527.65,4624.24,0.029,0.057,-0.194
2026,1,January,3,Thanjavur,3631.07,3687.33,3505.05,4779.04,-0.015,0.036,-0.24
2026,1,January,3,The Nilgiris,3203.18,3463.82,4192.68,4786.43,-0.075,-0.236,-0.331
2026,1,January,3,Theni,3223.98,3126.5,3601.51,4323.04,0.031,-0.105,-0.254
2026,1,January,3,Thiruchirappalli,3261.74,3467.84,3926.78,5225.39,-0.059,-0.169,-0.376
2026,1,January,3,Thirunelveli,3030.86,3198.51,3727.8,4364.55,-0.052,-0.187,-0.306
2026,1,January,3,Thirupathur,2750.0,3003.7,3412.76,4566.33,-0.084,-0.194,-0.398
2026,1,January,3,Thirupur,2747.08,2818.81,2822.61,4341.14,-0.025,-0.027,-0.367
2026,1,January,3,Thiruvannamalai,2873.08,3068.84,3471.63,4423.38,-0.064,-0.172,-0.35
2026,1,January,3,Thiruvarur,3545.06,3360.99,4021.07,5894.55,0.055,-0.118,-0.399
2026,1,January,3,Thiruvellore,3041.82,3000.0,3394.64,4838.1,0.014,-0.104,-0.371
2026,1,January,3,Tuticorin,3813.52,3515.0,4047.74,4904.15,0.085,-0.058,-0.222
2026,1,January,3,Vellore,2987.0,3078.66,3544.0,4387.73,-0.03,-0.157,-0.319
2026,1,January,3,Villupuram,3149.89,3166.73,3462.8,4514.04,-0.005,-0.09,-0.302
2026,1,January,3,Virudhunagar,3279.29,3362.87,3561.55,4762.88,-0.025,-0.079,-0.311
2026,1,January,4,Ariyalur,2504.48,2766.89,2850.71,5267.68,-0.095,-0.122,-0.525
2026,1,January,4,Chengalpattu,3496.45,3499.1,3588.67,4585.28,-0.001,-0.026,-0.238
2026,1,January,4,Coimbatore,2598.3,2591.77,3282.06,4274.21,0.002,-0.208,-0.392
2026,1,January,4,Cuddalore,2844.43,2950.21,3349.44,4615.2,-0.036,-0.151,-0.384
2026,1,January,4,Dharmapuri,2902.8,2975.43,3517.57,4699.61,-0.024,-0.175,-0.382
2026,1,January,4,Dindigul,2854.76,3335.92,3873.75,4819.0,-0.144,-0.263,-0.408
2026,1,January,4,Erode,3351.13,3428.9,3710.32,4621.32,-0.023,-0.097,-0.275
2026,1,January,4,Kallakuruchi,3679.65,4000.0,4172.88,5000.0,-0.08,-0.118,-0.264
2026,1,January,4,Kancheepuram,2867.24,3236.12,3084.66,4247.65,-0.114,-0.07,-0.325
2026,1,January,4,Karur,3486.37,3460.9,3784.54,5000.0,0.007,-0.079,-0.303
2026,1,January,4,Krishnagiri,2971.3,3055.39,3439.15,4325.36,-0.028,-0.136,-0.313
2026,1,January,4,Madurai,3383.79,3730.06,3951.74,5158.77,-0.093,-0.144,-0.344
2026,1,January,4,Nagapattinam,2668.97,2740.51,2717.42,3971.72,-0.026,-0.018,-0.328
2026,1,January,4,Nagercoil (Kannyiakumari),3770.85,3979.39,4437.46,5000.0,-0.052,-0.15,-0.246
2026,1,January,4,Namakkal,3297.42,3389.87,3472.47,4847.91,-0.027,-0.05,-0.32
2026,1,January,4,Perambalur,3431.52,3519.6,3963.17,5230.09,-0.025,-0.134,-0.344
2026,1,January,4,Pudukkottai,3466.36,3755.07,3958.57,5082.83,-0.077,-0.124,-0.318
2026,1,January,4,Ramanathapuram,3638.92,3492.89,3679.94,5315.72,0.042,-0.011,-0.315
2026,1,January,4,Ranipet,2985.65,3003.64,3508.62,4510.27,-0.006,-0.149,-0.338
2026,1,January,4,Salem,3290.31,3545.2,4220.95,5675.12,-0.072,-0.221,-0.42
2026,1,January,4,Sivaganga,3515.57,4008.74,4131.98,5408.41,-0.123,-0.149,-0.35
2026,1,January,4,Tenkasi,3495.63,3728.85,3619.82,4613.07,-0.062,-0.034,-0.242
2026,1,January,4,Thanjavur,3411.73,3631.07,3643.7,4794.84,-0.06,-0.064,-0.289
2026,1,January,4,The Nilgiris,3200.0,3203.18,4093.2,5034.62,-0.001,-0.218,-0.364
2026,1,January,4,Theni,3258.73,3223.98,3657.61,4414.45,0.011,-0.109,-0.262
2026,1,January,4,Thiruchirappalli,3234.38,3261.74,3790.51,5333.31,-0.008,-0.147,-0.394
2026,1,January,4,Thirunelveli,2999.55,3030.86,3428.62,4178.26,-0.01,-0.125,-0.282
2026,1,January,4,Thirupathur,2750.0,2750.0,3149.5,4180.56,,-0.127,-0.342
2026,1,January,4,Thirupur,2703.87,2747.08,2951.55,4358.08,-0.016,-0.084,-0.38
2026,1,January,4,Thiruvannamalai,2968.69,2873.08,3105.83,4586.35,0.033,-0.044,-0.353
2026,1,January,4,Thiruvarur,3565.38,3545.06,4015.71,5771.78,0.006,-0.112,-0.382
2026,1,January,4,Thiruvellore,3152.92,3041.82,3601.17,4306.79,0.036,-0.124,-0.268
2026,1,January,4,Tuticorin,3531.64,3813.52,4206.14,4914.27,-0.074,-0.16,-0.281
2026,1,January,4,Vellore,2981.91,2987.0,3294.67,4370.91,-0.002,-0.095,-0.318
2026,1,January,4,Villupuram,3057.23,3149.89,3554.18,4732.84,-0.029,-0.14,-0.354
2026,1,January,4,Virudhunagar,3259.99,3279.29,3749.06,4401.71,-0.006,-0.131,-0.259
2026,2,February,1,Ariyalur,2358.03,2504.48,2926.83,5299.47,-0.058,-0.194,-0.555
2026,2,February,1,Chengalpattu,3105.4,3496.45,3479.57,4513.61,-0.112,-0.108,-0.312
2026,2,February,1,Coimbatore,2250.44,2598.3,3056.98,3958.96,-0.134,-0.264,-0.432
2026,2,February,1,Cuddalore,2791.68,2844.43,3098.2,4392.77,-0.019,-0.099,-0.365
2026,2,February,1,Dharmapuri,2603.01,2902.8,3441.92,4319.27,-0.103,-0.244,-0.397
2026,2,February,1,Dindigul,2827.88,2854.76,3681.75,4432.67,-0.009,-0.232,-0.362
2026,2,February,1,Erode,3157.12,3351.13,3717.8,4449.93,-0.058,-0.151,-0.291
2026,2,February,1,Kallakuruchi,3662.06,3679.65,4000.0,5000.0,-0.005,-0.084,-0.268
2026,2,February,1,Kancheepuram,2920.43,2867.24,3113.44,4830.33,0.019,-0.062,-0.395
2026,2,February,1,Karur,3154.89,3486.37,3703.5,4994.07,-0.095,-0.148,-0.368
2026,2,February,1,Krishnagiri,2719.31,2971.3,3237.42,4044.4,-0.085,-0.16,-0.328
2026,2,February,1,Madurai,2761.44,3383.79,3918.57,4886.79,-0.184,-0.295,-0.435
2026,2,February,1,Nagapattinam,2673.7,2668.97,2782.12,4079.65,0.002,-0.039,-0.345
